start_time,end_time,communicative_status_explanation,communicative_status,information_level_explanation,information_level,uncertainty_explanation,uncertainty,utterance_type_explanation,utterance_type,discursive_act_explanation,discursive_act,session,level,msg_idx,speaker,utterance
00:00:28.100,00:00:29.833,Speaker's intention to find the other is clear and complete.,Success,"'Let me go and find you.' indicates Blue's plan or proposed action, which is task-related.",Task-Related,Declarative statement with no indication of confidence or uncertainty.,None,"The statement 'Wait, let -- let me go and find you.' requests the listener to hold on while action is taken, making it imperative (I).",Imperative,"Offer made to find Orange, thus suggesting a course of action.",Offer/Option,1,Course1_Level1,22,Blue,"Wait, let -- let me go and find you."
00:00:30.600,00:00:31.166,Statement 'Real quick' is complete and reflects intention.,Success,"'Real quick.' supports the previous task-related intent, suggesting urgency in performing the task.",Task-Related,"Neutral statement, no confidence or uncertainty.",None,"'Real quick.' is a fragment giving additional context or urgency, qualifying it as a non-sentential (Ns) statement.",Non-Sentential / Listener Response,'Real quick.' Justifying the action taken in the previous sentence by indicating timeliness.,Justification,1,Course1_Level1,23,Blue,Real quick.
00:00:30.866,00:00:31.600,Empty utterance is uninterpretable.,Uninterpretable,No information is provided in this line.,Not Enough Information,Incomplete and lacks enough context to determine certainty or uncertainty.,Not Enough Information,"The utterance is empty, indicating not enough information (Ni).",Not Enough Information,Empty utterance without context; not enough information to classify.,Not Enough Information,1,Course1_Level1,24,Orange,()
00:00:32.566,00:00:32.766,The utterance 'Go' is a complete command.,Success,'Go.' is a command likely related to task execution.,Task-Related,"Single word command, lacks context for uncertainty or certainty.",None,"The single word 'Go' acts as a command or instruction, making it imperative (I).",Imperative,'Go.' is a directive to proceed or take action.,Directive,1,Course1_Level1,25,Blue,(Go).
00:00:33.866,00:00:35.466,Empty utterance is uninterpretable.,Uninterpretable,No information is provided in this line.,Not Enough Information,Incomplete and lacks enough context to determine certainty or uncertainty.,Not Enough Information,"Again, the utterance is empty, leading to classification as not enough information (Ni).",Not Enough Information,Empty utterance without context; not enough information to classify.,Not Enough Information,1,Course1_Level1,26,Orange,()
00:00:36.300,00:00:37.100,'Well.' is a complete and interpretable response given the context.,Success,"'Well' is often used as a filler or expression of mild surprise, so it captures a mild affective evaluation.",Affective Evaluation,"The utterance is a single word, 'Well,' with no context to determine certainty or uncertainty.",Not Enough Information,'Well' is a non-sentential expression that acknowledges but doesn't complete a thought.,Non-Sentential / Listener Response,"The word 'Well.' is an expressive, indicating possibly a pause or reflection within the conversation.",Expressive,1,Course1_Level1,27,Blue,Well.
00:00:37.833,00:00:38.766,"'Do you know how to (portal)?' suggests a rephrasing or pause, indicating a correction.",Correction,Asking if someone knows how to portal touches on game mechanics and knowledge of invariant features.,World Rules,A question asking about another's knowledge without hedging or certainty.,None,"This is a direct question, asking if the other character knows how to use the portal.",Query,"The utterance 'Do you know how to (portal)?' is a request for information, asking for confirmation of knowledge or understanding.",Request for Information,1,Course1_Level1,28,Blue,Do you know how to (portal)?
00:00:38.766,00:00:45.266,The speaker successfully communicates a series of actions.,Success,Describes actions to execute the task (T) and describes the world state when mentioning going to the other side (Ws).,"World State, Task-Related","Contains hedging ('uh maybe'), indicating uncertainty.",Hedging,"A series of instructions on what the speaker is going to do, making it imperative.",Imperative,The speaker is providing a suggestion and directive: to press the red button and allow passage. The multiple actions make it both option and directive.,"Offer/Option, Directive",1,Course1_Level1,29,Blue,"Oh wait, let me go to the other side and uh maybe just press on to this like red button right now and let me go to the other side to let you through."
00:00:46.766,00:00:47.033,"'Yeah.' is a clear acknowledgment, successfully communicated.",Success,"'Yeah' is an acknowledgment, confirming understanding, which falls under communication management.",Communication Management,An affirmation without expressed certainty.,None,"'Yeah' is a minimal, non-sentential acknowledgement.",Non-Sentential / Listener Response,Saying 'Yeah.' is acknowledging a previous suggestion or directive.,Acknowledgement,1,Course1_Level1,30,Blue,Yeah.
00:00:48.133,00:00:48.400,'Oh.' as an interjection or recognition is successfully communicated.,Success,"'Oh' can be an expression of realization or mild surprise, thus it captures affect.",Affective Evaluation,"An interjection showing reaction, but without certainty or uncertainty.",None,"'Oh' is an exclamation, likely expressing realization or acknowledgment.",Exclamation,"'Oh.' is an expressive, indicating surprise or realization, not contributing to task-oriented dialogue.",Expressive,1,Course1_Level1,31,Orange,Oh.
00:00:48.333,00:00:48.600,'Cool.' is clear and expresses approval or acknowledgment.,Success,'Cool' is an evaluation expressing positive emotional valence.,Affective Evaluation,"A neutral, affirming reaction; does not indicate certainty or uncertainty.",None,"'Cool' is an exclamatory expression, indicating approval or satisfaction.",Exclamation,'Cool.' here can be an acknowledgment of understanding or congruence in the situation.,Acknowledgement,1,Course1_Level1,32,Blue,Cool.
00:00:48.733,00:00:49.033,'Sorry.' is a complete apology and is successfully communicated.,Success,"'Sorry' is an apology, which is an expression of emotion or affective evaluation.",Affective Evaluation,An apology without expression of certainty or uncertainty.,None,"'Sorry' is an exclamation as a performative speech act, apologizing.",Exclamation,"'Sorry.' is an expressive, likely an apology for a previous misunderstanding or action.",Expressive,1,Course1_Level1,33,Orange,Sorry.
00:00:49.766,00:00:50.400,"The utterance is empty and incomprehensible, marked as Un.",Uninterpretable,There is no information in this utterance making it impossible to categorize.,Not Enough Information,The utterance is incomplete and lacks context or content to assess certainty.,Not Enough Information,"The utterance is empty, providing not enough information to categorize it.",Not Enough Information,"No content, suggesting missing information or an incomplete thought.",Not Enough Information,1,Course1_Level1,34,Blue,()
00:00:52.166,00:00:52.466,'Yeah.' is a complete and successful acknowledgment.,Success,"Simple acknowledgment, supports conversation flow.",Communication Management,Simple confirmation without expressed certainty.,None,'Yeah' is a non-sentential acknowledgment or backchanneling.,Non-Sentential / Listener Response,"'Yeah' is likely a commit to the previous apology, indicating acceptance.",Commit,1,Course1_Level1,35,Blue,Yeah.
00:00:53.000,00:00:54.866,"'And go through the other door.' is a complete directive, clearly communicated.",Success,This is a command related to task execution.,Task-Related,Command without expressed certainty or uncertainty.,None,"Utterance 36 is a directive to go through the door, making it imperative.",Imperative,Blue is giving a directive to Orange to go through the other door.,Directive,1,Course1_Level1,36,Blue,And go through the other door.
00:00:55.966,00:00:56.600,'Alright then.' is a complete acknowledgment and is successfully communicated.,Success,"'Alright then' acknowledges the previous instruction, maintaining conversation flow.",Communication Management,"Simple acknowledgment/confirmation, no indication of certainty or uncertainty.",None,"'Alright then' accepts or acknowledges what has been said, often with an emotional tone.","Exclamation, Non-Sentential / Listener Response",Orange is committing to Blue's directive.,Commit,1,Course1_Level1,37,Orange,Alright then.
00:00:57.666,00:00:58.266,"'Yeah, cool.' is a complete acknowledgment and is successfully communicated.",Success,Acknowledgment and management of conversational flow.,Communication Management,"Simple acknowledgment, no expressed certainty or uncertainty.",None,"'Yeah, cool' is a non-sentential positive acknowledgment of what was suggested or discussed.",Non-Sentential / Listener Response,Blue acknowledges Orange's commitment.,Acknowledgement,1,Course1_Level1,38,Blue,"Yeah, cool."
00:00:59.000,00:01:01.200,'And is there anything I can do right now?' is a clear and complete question.,Success,Asking about available actions is both task-related and conversational management.,"Task-Related, Communication Management","Question without hedging, no expressed (un)certainty.",None,"Utterance 39 is a question asking what actions are available, seeking information.",Query,Blue is requesting information on what action they can take now.,Request for Information,1,Course1_Level1,39,Blue,And is there anything I can do right now?
00:01:05.133,00:01:05.666,'Wait.' is a complete and understandable directive to pause.,Success,'Wait' is used to manage turn-taking and conversational flow.,Communication Management,"Simple pause word, not a hedge.",None,'Wait' is an imperative command to pause or hold action.,Imperative,'Wait' is a directive instructing to pause or stop the current action.,Directive,1,Course1_Level1,40,Blue,Wait.
00:01:07.400,00:01:08.266,'How?' is a complete question and its intent is clear.,Success,"'How?' seeks clarification to potentially perform a task, involving both task-related and communication management aspects.","Task-Related, Communication Management","Direct question, no hedging or implied certainty.",None,"Utterance 41 is a question asking for clarification or explanation, seeking information.",Query,Blue seeks clarification on the previous directive or a prior action.,Request for Clarification,1,Course1_Level1,41,Blue,How?
00:01:10.933,00:01:11.333,"'Huh.' is a complete, albeit minimal, expression of confusion or surprise, successfully communicated.",Success,"'Huh' indicates a need for clarification, related to conversational management.",Communication Management,Simple interjection expressing confusion but not uncertainty in terms of the task at hand.,None,'Huh.' is a non-sentential utterance indicating puzzlement or lack of understanding.,Non-Sentential / Listener Response,'Huh' is an expressive utterance indicating puzzlement or confusion.,Expressive,1,Course1_Level1,42,Blue,Huh.
00:01:14.166,00:01:16.333,Complete sentence conveying the idea of not knowing how something works. Not abandoned or corrected.,Success,Conveys uncertainty about understanding game mechanics and facilitates the conversational flow.,Communication Management,Blue expresses uncertainty by stating they don't actually know how it works.,Hedging,"The statement ""Don't actually know how it works."" is a proposition where the speaker is stating a belief about their lack of knowledge, which can be evaluated as true or false.",Proposition,"Expresses lack of knowledge about how something functions, which is an emotional reaction or acknowledgment of confusion.",Expressive,1,Course1_Level1,43,Blue,Don't actually know how it works.
00:01:17.933,00:01:18.500,"The interjection 'Right.' is successfully conveyed as an acknowledgment or agreement, with no indication of abandonment or correction.",Success,'Right.' as an acknowledgment or understanding statement managing conversation flow.,Communication Management,'Right.' is a neutral acknowledgment with no hedging or certainty.,None,"""Right."" is a non-sentential fragment. It serves as acknowledgment or affirming understanding.",Non-Sentential / Listener Response,"This is an acknowledgment, often used to show understanding or agreement, but here it serves as a neutral response.",Expressive,1,Course1_Level1,44,Blue,Right.
00:01:22.366,00:01:22.633,The interjection 'Huh.' is again a successfully communicated reaction or expression of contemplation.,Success,'Huh.' as a conversational acknowledgment managing conversation flow.,Communication Management,The utterance 'Huh.' is ambiguous and doesn't provide enough information to determine certainty or uncertainty.,Not Enough Information,"""Huh."" similar to before, is an exclamation reflecting confusion or realization, and it's a meaningful non-sentential fragment.","Exclamation, Non-Sentential / Listener Response","Another expression of confusion or surprise, similar to the previous 'Huh.'",Expressive,1,Course1_Level1,45,Blue,Huh.
00:01:24.466,00:01:25.133,"The interjection 'Wait.' is clear on its own as a signal to pause or reconsider, effectively communicated without any signs of abandonment or correction.",Success,'Wait.' is used for managing turn-taking and indicates readiness to engage in task-related context.,"Task-Related, Communication Management",'Wait.' is a command to pause but doesn't express uncertainty or certainty.,None,"""Wait."" is an imperative, a command for someone to stop or pause.",Imperative,"Functions as a pause to stop the current activity, akin to a directive to halt or reconsider.",Directive,1,Course1_Level1,46,Blue,Wait.
00:01:28.866,00:01:30.266,"The expression 'Oh, I have an idea.' is coherent and indicates a potential solution or thought, fully communicated without any abandonment or correction.",Success,'I have an idea.' indicates the start of a task-related suggestion or strategy.,Task-Related,Orange is expressing uncertainty about their idea.,Hedging,"""Oh, I have an idea."" is an exclamation expressing realization or inspiration. It's also incomplete as a detailed idea statement.","Exclamation, Non-Sentential / Listener Response",Offering a new idea or suggestion that has potential for action.,Offer/Option,1,Course1_Level1,47,Orange,"Oh, I have an idea."
00:01:29.033,00:01:29.433,"The utterance 'Well.' is an uncorrupted, complete interjection that can express hesitancy or contemplation without needing further information.",Success,"'Well.' is a conversational filler, managing the conversational flow.",Communication Management,'Well.' is a filler word without expressed certainty or uncertainty.,None,"""Well."" is a non-sentential fragment. It can signal contemplation or hesitation.",Non-Sentential / Listener Response,"This is a non-specific response, often used to fill space or show contemplation.",Expressive,1,Course1_Level1,48,Blue,Well.
00:01:31.600,00:01:32.066,The tentative 'Maybe.' is complete in its expression of uncertainty. No abandonment or correction is necessary.,Success,"'Maybe.' suggests uncertainty and potential task-related action, managing flow and initiating a task discussion.","Task-Related, Communication Management",'Maybe.' is a hedge indicating uncertainty.,Hedging,"""Maybe."" is a non-sentential fragment expressing uncertainty or possibility.",Non-Sentential / Listener Response,Expression of uncertainty but still presenting a potential option or idea for consideration.,Offer/Option,1,Course1_Level1,49,Orange,Maybe.
00:01:33.433,00:01:33.766,"The interjection 'Mhm.' is a common way of expressing agreement or acknowledgment, successfully communicated without any need for abandonment or correction.",Success,'Mhm.' is an acknowledgment ensuring conversational flow.,Communication Management,'Mhm.' is a neutral acknowledgment or agreement with no explicit certainty.,None,"""Mhm."" is a non-sentential response that functions as a backchannel, indicating listening and acknowledgment.",Non-Sentential / Listener Response,A non-verbal acknowledgment showing general agreement or understanding.,Expressive,1,Course1_Level1,50,Blue,Mhm.
00:01:33.833,00:01:37.433,"The speaker hesitates and then rephrases, indicating a self-correction.",Correction,"The utterance describes an object in the environment, which qualifies as Ws.",World State,The statement is descriptive without any indication of certainty or uncertainty.,None,"""There's this ... ah orange thing on camera."" is a proposition describing something visible, making a factual claim that can be evaluated as true or false.",Proposition,"The sentence is unclear and unfinished, lacking information to classify.",Not Enough Information,1,Course1_Level1,51,Orange,There's this ... ah orange thing on camera.
00:01:38.000,00:01:38.933,"The utterance 'Ah, yeah' successfully acknowledges understanding.",Success,"Acknowledges and confirms receipt of information, managing the flow of conversation (Tc).",Communication Management,"'Ah, yeah' is a simple acknowledgment without indicating certainty or uncertainty.",None,"""Ah, yeah."" is a non-sentential response, acknowledging the previous statement.",Non-Sentential / Listener Response,Acknowledges the previous statement.,Acknowledgement,1,Course1_Level1,52,Blue,"Ah, yeah."
00:01:38.233,00:01:40.933,The question 'Does that have to hit somewhere perhaps?' is clear and successfully communicated.,Success,"The question asks about a possible rule (Wr) and implies a strategic consideration (T), as it explores whether the object needs to interact with something in the environment.","World Rules, Task-Related",The use of 'perhaps' indicates uncertainty.,Hedging,"""Does that have to hit somewhere perhaps?"" is a query asking for information about the necessity of an action.",Query,Asks for information about where the orange thing should be directed while speculating on its purpose with 'perhaps.',"Request for Information, Speculation",1,Course1_Level1,53,Orange,Does that have to hit somewhere perhaps?
00:01:41.666,00:01:42.766,This is a simple acknowledgment; repetition for emphasis doesn't affect its successful communication.,Success,"""I see, I see"" acknowledges understanding and confirms receipt of information, serving a Tc function.",Communication Management,The repetition of 'I see' is acknowledgment without indication of certainty or uncertainty.,None,"""I see, I see."" functions as an acknowledgment and is a non-sentential response indicating understanding or realization.",Non-Sentential / Listener Response,Acknowledges understanding of the question or speculation.,Acknowledgement,1,Course1_Level1,54,Blue,"I see, I see."
00:01:44.233,00:01:44.966,The utterance is empty and hence incomprehensible.,Uninterpretable,"Serves as an acknowledgment, indicating understanding in the conversation (Tc).",Communication Management,'I see' is a simple acknowledgment without indicating certainty or uncertainty.,None,"""I see."" is a non-sentential utterance expressing acknowledgment or understanding.",Non-Sentential / Listener Response,Further acknowledgment or understanding of the situation.,Acknowledgement,1,Course1_Level1,55,Blue,I see.
00:01:45.700,00:01:46.500,"The utterance ends with an incomplete thought and trailing '—', indicating it's abandoned.",Abandoned,"Incomplete utterance, so there is not enough information to determine the intent.",Not Enough Information,The parenthesis indicates an incomplete or missing utterance.,Not Enough Information,"The () indicates an incomplete or non-verbalized utterance, hence marked as not enough information.",Not Enough Information,Empty or non-verbal communication without context.,Not Enough Information,1,Course1_Level1,56,Orange,()
00:01:45.766,00:01:50.866,The utterance '(That room)' doesn't provide comprehensible content in isolation.,Uninterpretable,Describes an element of the game's environment (Ws).,World State,The statement is descriptive and does not indicate uncertainty or certainty.,None,"""There's also an orange-like camera thing in -- in the room that is like inside."" is a proposition describing the state of the environment.",Proposition,"Describes the presence of something similar to what was mentioned before, indicating a potential speculation of connection or purpose.",Speculation,1,Course1_Level1,57,Blue,There's also an orange-like camera thing in -- in the room that is like inside.
00:01:52.000,00:01:52.466,The utterance is a clarification intended after a previous thought but feels abandoned as it stands alone.,Abandoned,"Incomplete utterance. Provides context that refers to something previously mentioned, but lacks clarity.",Not Enough Information,The use of parentheses around '(That room)' indicates an incomplete or unclear thought.,Not Enough Information,"""(That room)."" is a non-sentential fragment, likely referring back to or clarifying the context of a previous statement.",Non-Sentential / Listener Response,"Fragmented or isolated speech, not providing enough context for a complete classification.",Not Enough Information,1,Course1_Level1,58,Blue,(That room).
00:01:52.200,00:01:53.000,"The single utterance ""Um."" is not interpretable in context as conveying a clear message.",Uninterpretable,"Indicates thinking, hesitation, or managing turn-taking.",Communication Management,'Um' is a filler suggesting hesitation or uncertainty.,Hedging,"The utterance is a non-sentential filler, 'Um,' indicating hesitation or processing.",Non-Sentential / Listener Response,'Um' is an expressive utterance indicating hesitation or thought.,Expressive,1,Course1_Level1,59,Orange,Um.
00:01:52.933,00:01:55.466,"The use of ""--"" suggests an incomplete thought, and the phrase begins with ""But"" after hesitation shows self-correction.",Correction,"Expressing confusion ('kinda confused'), which has an affective aspect (Ae) and also managing conversation (Tc).","Communication Management, Affective Evaluation",The use of 'kinda' twice indicates hedging and uncertainty.,Hedging,"The speaker expresses confusion and self-uncertainty, but the sentence is interrupted. It's both an exclamation of confusion and also lacks complete structure, warranting Ni.","Exclamation, Not Enough Information","The speaker expresses confusion, which is an emotional reaction.",Expressive,1,Course1_Level1,60,Blue,"(But) -- but I kinda am, kinda confused."
00:01:57.533,00:02:00.500,Sneezing sound is not interpretable as linguistic communication.,Uninterpretable,Sneezing is unrelated to the task; hence it is non-task related (Nr).,Non-Task Related,A sneeze is non-verbal and provides no context about certainty.,Not Enough Information,The utterance '((sneezes))' is non-sentential but performs a meaningful action.,Non-Sentential / Listener Response,Sneezing is an expressive non-verbal action.,Expressive,1,Course1_Level1,61,Blue,((sneezes))
00:01:59.433,00:01:59.866,"The utterance 'Bless you' is clear and complete, as a response to a sneeze.",Success,'Bless you' is part of polite interaction and expresses affective concern.,"Communication Management, Affective Evaluation",A neutral response with no expression of certainty or uncertainty.,None,"'Bless you.' is performative and customary in response to a sneeze, functioning as an imperative.",Imperative,"'Bless you' is a social, expressive reaction to sneezing.",Expressive,1,Course1_Level1,62,Orange,Bless you.
00:02:00.800,00:02:01.133,"The utterance 'Thank you' is successfully communicated, following common social etiquette after a blessing.",Success,"'Thank you' is acknowledging politeness, affecting evaluation, and managing conversation flow.","Communication Management, Affective Evaluation",A neutral response expressing gratitude with no expression of certainty or uncertainty.,None,A simple non-sentential response expressing gratitude.,Non-Sentential / Listener Response,'Thank you' acknowledges the blessing offered in utterance 62.,Acknowledgement,1,Course1_Level1,63,Blue,Thank you.
